"Population estimates, July 1, by census subdivision, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0155-01"
"Release date: 2025-01-16"
"Geography: Canada, Province or territory, Census subdivision"
""
""

"Geography","2024"
,"Persons"
"Quebec","9,056,044"
"Census subdivisions with 5,000-plus population, Quebec","7,714,979"
"Montréal (V), Quebec","1,945,359"
"Québec (V), Quebec","592,884"
"Laval (V), Quebec","460,396"
"Gatineau (V), Quebec","305,334"
"Longueuil (V), Quebec","268,684"
"Sherbrooke (V), Quebec","184,303"
"Lévis (V), Quebec","159,436"
"Saguenay (V), Quebec","152,341"
"Trois-Rivières (V), Quebec","149,208"
"Terrebonne (V), Quebec","125,278"
"Saint-Jean-sur-Richelieu (V), Quebec","100,558"
"Brossard (V), Quebec","97,697"
"Repentigny (V), Quebec","90,040"
"Saint-Jérôme (V), Quebec","84,440"
"Drummondville (V), Quebec","84,876"
"Granby (V), Quebec","71,815"
"Mirabel (V), Quebec","67,564"
"Blainville (V), Quebec","61,566"
"Saint-Hyacinthe (V), Quebec","60,707"
"Mascouche (V), Quebec","56,173"
"Châteauguay (V), Quebec","53,217"
"Shawinigan (V), Quebec","51,771"
"Rimouski (V), Quebec","51,764"
"Dollard-Des Ormeaux (V), Quebec","50,611"
"Victoriaville (V), Quebec","49,754"
"Saint-Eustache (V), Quebec","47,344"
"Vaudreuil-Dorion (V), Quebec","46,125"
"Salaberry-de-Valleyfield (V), Quebec","46,208"
"Rouyn-Noranda (V), Quebec","43,328"
"Boucherville (V), Quebec","41,936"
"Sorel-Tracy (V), Quebec","36,291"
"Côte-Saint-Luc (V), Quebec","38,303"
"Pointe-Claire (V), Quebec","36,194"
"Saint-Georges (V), Quebec","33,910"
"Val-d'Or (V), Quebec","33,382"
"Chambly (V), Quebec","31,854"
"Alma (V), Quebec","30,840"
"Sainte-Julie (V), Quebec","30,837"
"Saint-Constant (V), Quebec","31,940"
"Boisbriand (V), Quebec","29,517"
"Magog (V), Quebec","30,496"
"Sainte-Thérèse (V), Quebec","27,280"
"La Prairie (V), Quebec","27,217"
"Saint-Bruno-de-Montarville (V), Quebec","26,799"
"Thetford Mines (V), Quebec","26,918"
"Sept-Îles (V), Quebec","24,554"
"Saint-Lin--Laurentides (V), Quebec","26,396"
"Beloeil (V), Quebec","25,083"
"L'Assomption (V), Quebec","24,904"
"Candiac (V), Quebec","24,514"
"Saint-Lambert (V), Quebec","23,601"
"Saint-Lazare (V), Quebec","22,918"
"Joliette (V), Quebec","22,296"
"Varennes (V), Quebec","21,557"
"Mont-Royal (V), Quebec","22,358"
"Baie-Comeau (V), Quebec","20,714"
"Rivière-du-Loup (V), Quebec","20,666"
"Sainte-Marthe-sur-le-Lac (V), Quebec","21,716"
"Saint-Augustin-de-Desmaures (V), Quebec","20,840"
"Westmount (V), Quebec","20,315"
"Kirkland (V), Quebec","19,518"
