City_Name,Province,Population,Latitude,Longitude
Montréal,Quebec,1945359,45.5031824,-73.5698065
Québec,Quebec,592884,46.8137431,-71.2084061
Laval,Quebec,460396,45.605589,-73.7345601
Gatineau,Quebec,305334,45.4277659,-75.710976
Longueuil,Quebec,268684,45.521906,-73.4644578
Sherbrooke,Quebec,184303,45.403271,-71.889038
Lévis,Quebec,159436,46.8033114,-71.1778792
Saguenay,Quebec,152341,48.405959,-71.069183
Trois-Rivières,Quebec,149208,46.3432325,-72.5428485
Terrebonne,Quebec,125278,45.6951527,-73.6350148
Saint-Jean-sur-Richelieu,Quebec,100558,45.3056879,-73.2533401
Brossard,Quebec,97697,45.4554579,-73.4678695
Repentigny,Quebec,90040,45.7326055,-73.4528307
Saint-Jérôme,Quebec,84440,45.7780402,-74.0033272
Drummondville,Quebec,84876,45.8864303,-72.5018764
Granby,Quebec,71815,45.3990409,-72.721834
Mirabel,Quebec,67564,45.6339896,-73.9838775
Blainville,Quebec,61566,45.67932,-73.87619
Saint-Hyacinthe,Quebec,60707,45.627484,-72.940636
Mascouche,Quebec,56173,45.7453521,-73.6005591
Châteauguay,Quebec,53217,45.3602416,-73.749364
Shawinigan,Quebec,51771,46.5396581,-72.7518637
Rimouski,Quebec,51764,48.450155,-68.529968
Dollard-Des Ormeaux,Quebec,50611,45.48423,-73.8064547
Victoriaville,Quebec,49754,46.0554948,-71.9598586
Saint-Eustache,Quebec,47344,45.5646052,-73.8929714
Vaudreuil-Dorion,Quebec,46125,45.3971509,-74.0254577
Salaberry-de-Valleyfield,Quebec,46208,45.2555575,-74.1316718
Rouyn-Noranda,Quebec,43328,48.2420524,-79.0205378
Boucherville,Quebec,41936,45.6050197,-73.4526144
Sorel-Tracy,Quebec,36291,46.0435235,-73.1165159
Côte-Saint-Luc,Quebec,38303,45.4772716,-73.6637524
Pointe-Claire,Quebec,36194,45.4566767,-73.8067442
Saint-Georges,Quebec,33910,46.122987,-70.671959
Val-d'Or,Quebec,33382,48.1023356,-77.7875715
Chambly,Quebec,31854,45.4483467,-73.2936944
Alma,Quebec,30840,48.548887,-71.651459
Sainte-Julie,Quebec,30837,45.5930624,-73.3395943
Saint-Constant,Quebec,31940,45.3724897,-73.5704589
Boisbriand,Quebec,29517,45.6130248,-73.8386113
Magog,Quebec,30496,45.2658014,-72.1480686
Sainte-Thérèse,Quebec,27280,45.6342923,-73.8362379
La Prairie,Quebec,27217,45.4175472,-73.4891432
Saint-Bruno-de-Montarville,Quebec,26799,45.5256161,-73.3391798
Thetford Mines,Quebec,26918,46.091329,-71.30127
Sept-Îles,Quebec,24554,50.2109579,-66.3790642
Saint-Lin--Laurentides,Quebec,26396,45.8570477,-73.7808584
Beloeil,Quebec,25083,45.5643183,-73.2040066
L'Assomption,Quebec,24904,45.8307051,-73.4222086
Candiac,Quebec,24514,45.3867947,-73.5163824
Saint-Lambert,Quebec,23601,45.5006728,-73.5039466
Saint-Lazare,Quebec,22918,45.3995886,-74.1359632
Joliette,Quebec,22296,46.0239798,-73.4419936
Varennes,Quebec,21557,45.6834691,-73.4362737
Mont-Royal,Quebec,22358,45.5085881,-73.5897111
Baie-Comeau,Quebec,20714,49.2118373,-68.1801406
Rivière-du-Loup,Quebec,20666,47.8541229,-69.5333016
Sainte-Marthe-sur-le-Lac,Quebec,21716,45.5295339,-73.9326476
Saint-Augustin-de-Desmaures,Quebec,20840,46.743354,-71.4569733
Westmount,Quebec,20315,45.4856917,-73.596562
Kirkland,Quebec,19518,45.4529194,-73.8647559
Dorval,Quebec,20730,45.4453082,-73.7510888
Beaconsfield,Quebec,19356,45.4289766,-73.8654387
Mont-Saint-Hilaire,Quebec,19398,45.5623512,-73.1918864
Sainte-Sophie,Quebec,19481,45.818718,-73.8991887
Deux-Montagnes,Quebec,18391,45.5372581,-73.9043321
Saint-Colomban,Quebec,18831,45.7398754,-74.1378332
Sainte-Catherine,Quebec,17714,45.40049,-73.576257
Saint-Basile-le-Grand,Quebec,17265,45.526246,-73.2876515
L'Ancienne-Lorette,Quebec,17851,46.8063745,-71.3584717
Sainte-Anne-des-Plaines,Quebec,15914,45.76417,-73.818855
Cowansville,Quebec,16847,45.2076125,-72.7479195
Saint-Charles-Borromée,Quebec,16529,46.04774,-73.46283
Gaspé,Quebec,15539,48.6146774,-66.0665726
Pincourt,Quebec,15281,45.371202,-73.986053
Mercier,Quebec,15743,45.310444,-73.746051
Lavaltrie,Quebec,15861,45.883078,-73.282242
Mont-Laurier,Quebec,14567,46.5524071,-75.4968899
Lachute,Quebec,15287,45.6560478,-74.3401388
Rosemère,Quebec,14191,45.6323155,-73.8052338
Sainte-Adèle,Quebec,14951,45.951895,-74.1359579
Matane,Quebec,14257,48.8468883,-67.5295198
